"cell","n_reps","bias_ate","mean_target_minus_ate","sd_target","emp_sd","mean_se_emp","mean_se_stk","cov_ate_emp","cov_ate_stk","cov_target_emp","cov_target_stk","mcse_cov","mean_size","p_superset"
"I",100,0.0235528545606905,0.0264990468332036,0.00358998306738831,0.458866123055111,0.425464423260135,0.480874937794079,0.93,0.94,0.92,0.94,0.0217944947177034,16.52,1
"II",100,0.0692254307662867,0.0343715051218094,0.0769017831366996,1.87702686323683,1.99829888214004,2.92772432977026,0.95,1,0.96,1,0.0217944947177034,38.17,0.69
"III",100,0.0146550148095141,0.0341500153052383,0.0249656749606536,0.169255676579697,0.17726526818279,0.188181074315932,0.96,0.97,0.96,0.97,0.0217944947177034,15.47,0.6
