"outcome","column","full","out_thr","out_bic","oal_fix","oal_wamd","oads_thr","oads_bic","trt_bic","bch"
"30-day survival (risk difference)","urin1",1,0.8,1,0,1,0.8,1,0.2,1
"30-day survival (risk difference)","raceblack",1,0,0,0,0.8,0,0,0,0
"30-day survival (risk difference)","raceother",1,0,0,0,0.8,0,0,0,0
"30-day survival (risk difference)","income$11-$25k",1,0,0,0,0.8,0,0,0,0
"30-day survival (risk difference)","income$25-$50k",1,0,0.2,0,1,0,0.2,0,0.2
"30-day survival (risk difference)","income> $50k",1,0.2,0,0,1,0.2,0,0,0
"30-day survival (risk difference)","urin1_miss",1,0,0,0,0.8,0,0,0.8,0.8
"30-day survival (risk difference)","wtkilo1_zero",1,0,0,0,1,0,0,0.2,0.2
"length of stay (days)","cat1COPD",1,1,1,1,1,1,1,1,1
"length of stay (days)","cat1CHF",1,1,1,1,1,1,1,1,1
"length of stay (days)","cat1Cirrhosis",1,1,1,1,1,1,1,1,1
"length of stay (days)","cat1Coma",1,1,1,1,1,1,1,1,1
"length of stay (days)","cat1Colon Cancer",1,1,1,0,1,1,1,0,1
"length of stay (days)","cat1Lung Cancer",1,1,1,0.8,1,1,1,0.2,1
"length of stay (days)","cat1MOSF w/Malignancy",1,1,1,1,1,1,1,0,1
"length of stay (days)","cat1MOSF w/Sepsis",1,1,1,1,1,1,1,1,1
"length of stay (days)","cat2Colon Cancer",1,0.4,1,0,0.8,0.4,1,0,1
"length of stay (days)","cat2Coma",1,1,1,0.2,1,1,1,0.8,1
"length of stay (days)","cat2Lung Cancer",1,0.6,1,0,0.8,0.6,1,0.2,1
"length of stay (days)","cat2MOSF w/Malignancy",1,1,1,0,1,1,1,1,1
"length of stay (days)","cat2MOSF w/Sepsis",1,1,1,1,1,1,1,1,1
"length of stay (days)","cat2None",1,1,1,1,1,1,1,0,1
"length of stay (days)","caYes",1,0.8,1,0.4,1,0.8,1,0.2,1
"length of stay (days)","caMetastatic",1,0.8,0.8,0,1,0.8,0.8,0.2,0.8
"length of stay (days)","cardiohx",1,0.6,1,0.2,0.8,0.6,1,0.4,1
"length of stay (days)","chfhx",1,1,1,0.8,1,1,1,0.2,1
"length of stay (days)","dementhx",1,1,1,1,1,1,1,1,1
"length of stay (days)","psychhx",1,0,1,0,1,0,1,1,1
"length of stay (days)","chrpulhx",1,1,1,0.2,1,1,1,0.2,1
"length of stay (days)","renalhx",1,1,1,1,1,1,1,0.4,1
"length of stay (days)","liverhx",1,0.8,1,0,0.8,0.8,1,0,1
"length of stay (days)","gibledhx",1,1,1,0.6,1,1,1,0.4,1
"length of stay (days)","malighx",1,0.8,1,0.6,1,0.8,1,1,1
"length of stay (days)","immunhx",1,0.2,1,0,0.8,0.2,1,0.2,1
