"cell","method","bias","emp_sd","se_ratio","cov95"
"I (n=500,p=20)","oracle",-0.0113000427712098,0.189943415235545,1.07131363945079,0.96
"I (n=500,p=20)","ry2",0.00627984687636651,0.410801916040524,1.01852466675597,0.956
"II (n=200,p=50)","oracle",0.0043671892880226,0.320843801746198,1.00110585661412,0.96
"II (n=200,p=50)","ry2",0.162617481912541,1.93990001180373,1.06202743062895,0.964
"III (n=2000,p=20)","oracle",0.000562629413380922,0.105142608076735,0.986664406392742,0.964
"III (n=2000,p=20)","ry2",0.0154565193096035,0.176165593511841,0.988078479786932,0.934
"P1 (n=500,p=100)","oracle",-0.00780948924615088,0.213638121287165,0.941710066946237,0.936666666666667
"P1 (n=500,p=100)","oal_ipw",0.143617295402328,0.282631244070262,0.989357837873317,0.903333333333333
"P1 (n=500,p=100)","oal_ols",-0.0330965278818105,0.258860444253477,0.869000766589002,0.923333333333333
"P1 (n=500,p=100)","oads",0.0135896025644793,0.399969945618948,0.963384814482761,0.96
"P1 (n=500,p=100)","bch",-0.0534533713462164,0.4489856455646,1.03755679568584,0.956666666666667
"P1 (n=500,p=100)","ry2",-0.0239635465793965,0.804701041659834,1.02489469248928,0.956666666666667
"P2 (n=500,p=200)","oracle",-0.00934747656399593,0.204570966881942,0.981852655168839,0.94
"P2 (n=500,p=200)","oal_ipw",0.231149724687857,0.263544672721501,0.998531099475884,0.81
"P2 (n=500,p=200)","oal_ols",0.0146975082392036,0.280091549125061,0.808867720870178,0.886666666666667
"P2 (n=500,p=200)","oads",-0.0510229514208297,0.556465887191077,0.925174630243136,0.933333333333333
"P2 (n=500,p=200)","bch",-0.102248938963619,0.604780135242189,1.01384809736248,0.966666666666667
"P2 (n=500,p=200)","ry2",-0.0258831412018654,3.83940981977339,0.712417745653571,0.946666666666667
