# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"cell","design","n","p","arm","measure","value","mcse","minutes","arm_label"
"I","I (n=500,p=20)",500,20,"out_thr","width_stk",0.952254779509419,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","cov_w1_stk",0.992,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","cov_w2_stk",0.998,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","width_w1_stk",1.43809905476933,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","width_w2_stk",1.92394333002924,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","trim_frac",0.021924,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","n_fail",0,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_thr","n_reps",500,NA,1.41735934813817,"outcome-only thresholded + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","bias",-0.00700416966462258,0.0133306260876584,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","emp_sd",0.298081861146363,0.00943561644302053,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","rmse",0.297865991253251,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","mean_se_emp",0.283859867532863,0.00189966270280148,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","mean_se_stk",0.316618152686156,0.00213880461434824,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","se_ratio_emp",0.952288295709088,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","se_ratio_stk",1.06218523820439,NA,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","cov_emp",0.934,0.0111035129576184,1.41735934813817,"outcome-only BIC-lasso + AIPW"
"I","I (n=500,p=20)",500,20,"out_bic","cov_stk",0.956,0.00917213170424412,1.41735934813817,"outcome-only BIC-lasso + AIPW"
