"outcome","split","arm","estimate","se_emp","se_stk","mean_size"
"length of stay (days)",2,"oal_fix",2.55121639100776,0.903364551576631,0.964705074159432,38
"length of stay (days)",2,"oal_wamd",2.11208673330263,0.962077124476902,1.06145600841826,72.8
"length of stay (days)",2,"oads_thr",2.20351480271262,0.935128972487574,1.0106548769379,62.8
"length of stay (days)",2,"oads_bic",2.11117130528192,0.961330256132641,1.06063147119534,73
"length of stay (days)",2,"trt_bic",2.77714483623525,0.943078890398012,1.02117091910454,42.8
"length of stay (days)",2,"bch",2.05680751729104,0.97093042721088,1.06987319433224,73.4
"length of stay (days)",2,"oal_ipw",2.54167369858683,0.920057026239108,NA,74
"length of stay (days)",3,"full",2.31414641449041,0.954641333891525,1.0415869787196,74
"length of stay (days)",3,"out_thr",2.29217784390316,0.955023921567352,1.03838268779668,65.4
"length of stay (days)",3,"out_bic",2.34906006235265,0.954720447730519,1.04224415616251,73.4
"length of stay (days)",3,"oal_fix",2.75077187877001,0.92068854581263,0.980973301161165,41.2
"length of stay (days)",3,"oal_wamd",2.34295462313127,0.953256056386194,1.04077161405509,73.4
"length of stay (days)",3,"oads_thr",2.29217784390316,0.955023921567352,1.03838268779668,65.4
"length of stay (days)",3,"oads_bic",2.34906006235265,0.954720447730519,1.04224415616251,73.4
"length of stay (days)",3,"trt_bic",2.83038568682345,0.938500541971223,0.988041987876166,42.6
"length of stay (days)",3,"bch",2.31414641449041,0.954641333891525,1.0415869787196,74
"length of stay (days)",3,"oal_ipw",2.54167369858683,0.920057026239108,NA,74
"length of stay (days)",4,"full",2.33090151851576,0.961331826766128,1.05317053951237,74
"length of stay (days)",4,"out_thr",2.43145958727466,0.912934479707655,0.994818981324763,64
"length of stay (days)",4,"out_bic",2.32771784110061,0.949703072063424,1.03585702147324,73.6
"length of stay (days)",4,"oal_fix",2.50188459768278,0.911869604635376,0.970740163743637,38
"length of stay (days)",4,"oal_wamd",2.35144571253098,0.960657690587203,1.05177198194649,73.6
"length of stay (days)",4,"oads_thr",2.43145958727466,0.912934479707655,0.994818981324763,64
"length of stay (days)",4,"oads_bic",2.32771784110061,0.949703072063424,1.03585702147324,73.6
"length of stay (days)",4,"trt_bic",3.19154384871847,0.945818727746423,1.01794000391967,35.4
"length of stay (days)",4,"bch",2.33090151851576,0.961331826766128,1.05317053951237,74
"length of stay (days)",4,"oal_ipw",2.54167369858683,0.920057026239108,NA,74
"length of stay (days)",5,"full",3.12238142500709,0.976350916395453,1.05890806462525,74
"length of stay (days)",5,"out_thr",2.87609652618704,0.935133573019504,0.996463289097033,64
"length of stay (days)",5,"out_bic",3.12238142500709,0.976350916395453,1.0584765062615,73.8
"length of stay (days)",5,"oal_fix",2.85452112893655,0.927779690724199,0.992639707709074,39.2
"length of stay (days)",5,"oal_wamd",3.1389935239271,0.970651430042076,1.05874139915776,71.6
"length of stay (days)",5,"oads_thr",2.87609652618704,0.935133573019504,0.996463289097033,64
"length of stay (days)",5,"oads_bic",3.12238142500709,0.976350916395453,1.0584765062615,73.8
"length of stay (days)",5,"trt_bic",3.38997986997402,0.95495375234726,1.01669256590029,42.2
"length of stay (days)",5,"bch",3.12238142500709,0.976350916395453,1.0584765062615,73.8
"length of stay (days)",5,"oal_ipw",2.54167369858683,0.920057026239108,NA,74
