# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"design","n","p","arm","mean_size","p_exact_oracle","p_superset_oracle","p_iv_excluded","p_bdry_retained","mean_noise","p_oal_extra","mean_oal_extra","n_reps","cell"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"full",20,0,1,0,1,12,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"out_thr",6.0064,0.9936,1,0.9988,1,0.0052,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"out_bic",13.2364,0.0064,1,0.252,1,6.206,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oal_fix",4.6076,0.0856,0.0856,0.9968,1,0,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oads_thr",6.0084,0.9916,1,0.9968,1,0.0052,0.002,0.002,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oads_bic",13.2364,0.0064,1,0.252,1,6.206,0,0,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"bch",15.2716,0,1,0,1,7.2716,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.469)",2000,20,"ols_oadsthr",6.006,NA,NA,NA,NA,NA,NA,NA,500,"B2000_k1.50"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"full",20,0,1,0,1,12,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"out_thr",5.3904,0.4928,0.4944,0.9992,0.6932,0.00320000000000001,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"out_bic",13.0272,0.002,0.994,0.256,0.997,6.0024,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oal_fix",4.2336,0.068,0.0684,0.996,0.7716,0,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oads_thr",5.5516,0.6028,0.606,0.996,0.7722,0.00320000000000001,0.1528,0.1612,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oads_bic",13.0272,0.002,0.994,0.256,0.997,6.0024,0,0,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"bch",15.1108,0,1,0,1,7.1108,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.208)",2000,20,"ols_oadsthr",5.736,NA,NA,NA,NA,NA,NA,NA,500,"B2000_k1.10"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"full",20,0,1,0,1,12,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"out_thr",4.1452,0.008,0.008,0.998,0.0688,0.00559999999999999,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"out_bic",12.13,0.0024,0.6736,0.304,0.8086,5.5736,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oal_fix",2.9616,0.00279999999999999,0.00279999999999999,0.9916,0.1162,0,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oads_thr",4.2468,0.0196,0.0196,0.9916,0.1164,0.00559999999999999,0.0984,0.1016,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oads_bic",12.13,0.0024,0.6736,0.304,0.8086,5.5736,0,0,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"bch",14.7696,0,1,0,1,6.7696,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.102)",2000,20,"ols_oadsthr",4.314,NA,NA,NA,NA,NA,NA,NA,500,"B2000_k0.75"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"full",20,0,1,0,1,12,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"out_thr",6,1,1,1,1,0,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"out_bic",12.2288,0.0096,1,0.3316,1,5.3492,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oal_fix",4.9188,0.222,0.222,1,1,0,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oads_thr",6,1,1,1,1,0,0,0,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oads_bic",12.2288,0.0096,1,0.3316,1,5.3492,0,0,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"bch",14.532,0,1,0,1,6.532,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.50, b_n=0.301)",8000,20,"ols_oadsthr",6,NA,NA,NA,NA,NA,NA,NA,500,"B8000_k1.50"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"full",20,0,1,0,1,12,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"out_thr",5.4236,0.5224,0.5224,1,0.7118,0,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"out_bic",12.2172,0.0076,1,0.3128,1,5.3092,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oal_fix",4.6296,0.1644,0.1644,1,0.8198,0,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oads_thr",5.6396,0.6852,0.6852,1,0.8198,0,0.2056,0.216,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oads_bic",12.2172,0.0076,1,0.3128,1,5.3092,0,0,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"bch",14.4932,0,1,0,1,6.4932,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=1.10, b_n=0.125)",8000,20,"ols_oadsthr",5.802,NA,NA,NA,NA,NA,NA,NA,500,"B8000_k1.10"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oracle",6,1,1,1,1,0,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"full",20,0,1,0,1,12,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"out_thr",4.0568,0.00160000000000001,0.00160000000000001,0.9988,0.0276,0.000399999999999997,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"out_bic",11.3268,0.00320000000000001,0.7232,0.376,0.8368,4.8376,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oal_fix",3.1352,0.000399999999999998,0.000399999999999998,0.9984,0.0594,0,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oads_thr",4.1208,0.006,0.006,0.9984,0.0594,0.000399999999999997,0.064,0.064,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oads_bic",11.3268,0.00320000000000001,0.7232,0.376,0.8368,4.8376,0,0,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"bch",14.1336,0,1,0,1,6.1336,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"B8000_k0.75"
"B (boundary seq., kappa=0.75, b_n=0.058)",8000,20,"ols_oadsthr",4.152,NA,NA,NA,NA,NA,NA,NA,500,"B8000_k0.75"
