# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"design","n","p","arm","mean_size","p_exact_oracle","p_superset_oracle","p_iv_excluded","p_bdry_retained","mean_noise","p_oal_extra","mean_oal_extra","n_reps","cell"
"III (n=2000,p=20, local boundary)",2000,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"III"
"M (misspecified OM)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"M"
"M (misspecified OM)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"M"
"M (misspecified OM)",500,20,"out_thr",6.0856,0.8356,0.9552,0.9764,0.9954,0.1092,NA,NA,500,"M"
"M (misspecified OM)",500,20,"out_bic",14.7144,0.0016,0.9992,0.1608,1,7.4576,NA,NA,500,"M"
"M (misspecified OM)",500,20,"oal_fix",4.3248,0.0324,0.0324,0.9616,0.9904,0,NA,NA,500,"M"
"M (misspecified OM)",500,20,"oal_wamd",12.6744,0.0184,0.9344,0.1016,0.9998,5.2876,NA,NA,500,"M"
"M (misspecified OM)",500,20,"oads_thr",6.104,0.8244,0.9568,0.9612,0.9964,0.1092,0.0184,0.0184,500,"M"
"M (misspecified OM)",500,20,"oads_bic",14.7144,0.0016,0.9992,0.1608,1,7.4576,0,0,500,"M"
"M (misspecified OM)",500,20,"trt_bic",8.5128,0,0.0364,0,1,2.1456,NA,NA,500,"M"
"M (misspecified OM)",500,20,"bch",16.2732,0,1,0,1,8.2732,NA,NA,500,"M"
"M (misspecified OM)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"M"
"M (misspecified OM)",500,20,"ols_oadsthr",6.106,NA,NA,NA,NA,NA,NA,NA,500,"M"
"M (misspecified OM)",500,20,"oal_ipw",12.422,NA,NA,NA,NA,NA,NA,NA,500,"M"
"M (misspecified OM)",500,20,"goal_ipw",15.798,NA,NA,NA,NA,NA,NA,NA,500,"M"
"M (misspecified OM)",500,20,"ry2",16.794,NA,NA,NA,NA,NA,NA,NA,500,"M"
"M (misspecified OM)",500,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"M"
"P1 (n=500,p=100)",500,100,"oracle",6,1,1,1,1,0,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"full",100,0,1,0,1,92,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"out_thr",5.566,0.0472,0.112,0.9716,0.3408,0.8728,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"out_bic",36.9924,0,0.7724,0.4624,0.8706,30.5908,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"oal_fix",2.9244,0.00279999999999999,0.00279999999999999,0.95,0.2502,0.002,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"oal_wamd",37.8728,0,0.8668,0.0676,0.9574,30.5552,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"oads_thr",5.6036,0.048,0.1176,0.9488,0.3474,0.8728,0.0372,0.0376,500,"P1"
"P1 (n=500,p=100)",500,100,"oads_bic",36.9952,0,0.7724,0.46,0.8706,30.5908,0.0028,0.0028,500,"P1"
"P1 (n=500,p=100)",500,100,"trt_bic",8.5204,0,0.00160000000000001,0,0.9946,2.4696,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"bch",40.2076,0,0.9996,0,0.9998,32.208,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"ols_oadsthr",5.306,NA,NA,NA,NA,NA,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"oal_ipw",37.104,NA,NA,NA,NA,NA,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"goal_ipw",72.446,NA,NA,NA,NA,NA,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"ry2",71.09,NA,NA,NA,NA,NA,NA,NA,500,"P1"
"P1 (n=500,p=100)",500,100,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"P1"
"P2 (n=500,p=200)",500,200,"oracle",6,1,1,1,1,0,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"out_thr",7.652,0.00466666666666667,0.0913333333333333,0.954666666666667,0.308333333333333,3.064,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"out_bic",56.8086666666667,0,0.692666666666667,0.548,0.828,50.624,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"oal_fix",2.76533333333333,0.002,0.002,0.930666666666667,0.221666666666667,0.00333333333333334,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"oal_wamd",64.318,0,0.793333333333333,0.0726666666666667,0.933666666666667,57.0766666666667,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"oads_thr",7.69733333333333,0.00333333333333334,0.0953333333333333,0.928666666666667,0.315333333333333,3.064,0.0453333333333333,0.0453333333333333,300,"P2"
"P2 (n=500,p=200)",500,200,"oads_bic",56.8233333333333,0,0.695333333333333,0.538,0.829333333333333,50.624,0.014,0.0146666666666667,300,"P2"
"P2 (n=500,p=200)",500,200,"trt_bic",8.62133333333333,0,0.000666666666666667,0,0.993,2.59933333333333,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"bch",60.544,0,0.997333333333333,0,0.998666666666667,52.5466666666667,NA,NA,300,"P2"
"P2 (n=500,p=200)",500,200,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,300,"P2"
