# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits. 

        cell      arm reps fits mean_dim ps_nonconv ps_boundary ps_rankdef_fits
  B500_k0.75  oal_fix   10   50     3.92          0           0               0
  B500_k0.75 oads_thr   10   50     5.52          0           0               0
  B500_k0.75 oads_bic   10   50    15.52          0           0               0
  B500_k0.75      bch   10   50    17.68          0           0               0
 B2000_k1.50   oracle   10   50     7.00          0           0               0
 B2000_k1.50     full   10   50    21.00          0           0               0
 B2000_k1.50  out_thr   10   50     7.00          0           0               0
 B2000_k1.50  out_bic   10   50    13.68          0           0               0
 B2000_k1.50  oal_fix   10   50     5.90          0           0               0
 B2000_k1.50 oads_thr   10   50     7.04          0           0               0
 B2000_k1.50 oads_bic   10   50    13.68          0           0               0
 B2000_k1.50      bch   10   50    16.12          0           0               0
 B2000_k1.10   oracle   10   50     7.00          0           0               0
 B2000_k1.10     full   10   50    21.00          0           0               0
 B2000_k1.10  out_thr   10   50     6.36          0           0               0
 B2000_k1.10  out_bic   10   50    13.64          0           0               0
 B2000_k1.10  oal_fix   10   50     5.12          0           0               0
 B2000_k1.10 oads_thr   10   50     6.52          0           0               0
 B2000_k1.10 oads_bic   10   50    13.64          0           0               0
 B2000_k1.10      bch   10   50    15.52          0           0               0
 B2000_k0.75   oracle   10   50     7.00          0           0               0
 B2000_k0.75     full   10   50    21.00          0           0               0
 B2000_k0.75  out_thr   10   50     5.02          0           0               0
 B2000_k0.75  out_bic   10   50    11.96          0           0               0
 B2000_k0.75  oal_fix   10   50     3.76          0           0               0
 B2000_k0.75 oads_thr   10   50     5.10          0           0               0
 B2000_k0.75 oads_bic   10   50    11.96          0           0               0
 B2000_k0.75      bch   10   50    14.94          0           0               0
 B8000_k1.50   oracle   10   50     7.00          0           0               0
 B8000_k1.50     full   10   50    21.00          0           0               0
 B8000_k1.50  out_thr   10   50     7.00          0           0               0
 B8000_k1.50  out_bic   10   50    12.62          0           0               0
 B8000_k1.50  oal_fix   10   50     5.86          0           0               0
